X,Y,id,left,top,right,bottom,row_index,col_index,fid,VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE
120.114314110023,23.0183399778299,149877,158501.496185669,2546921.02934436,159656.196724048,2545921.02934436,384,266,493,"67000350036",臺南市,安南區,四草里,Sicao Vil.,D,"67000",D06,"67000350",
120.121404267284,23.0213835346775,150438,159367.521589454,2547421.02934436,160522.222127833,2546421.02934436,383,267,493,"67000350036",臺南市,安南區,四草里,Sicao Vil.,D,"67000",D06,"67000350",
120.122211737837,23.0131229084096,150439,159367.521589454,2546421.02934436,160522.222127833,2545421.02934436,384,267,493,"67000350036",臺南市,安南區,四草里,Sicao Vil.,D,"67000",D06,"67000350",
120.12437812639,23.0076439068208,150440,159367.521589454,2545421.02934436,160522.222127833,2544421.02934436,385,267,493,"67000350036",臺南市,安南區,四草里,Sicao Vil.,D,"67000",D06,"67000350",
120.129823652021,23.0259450397924,151000,160233.546993238,2547921.02934436,161388.247531617,2546921.02934436,383,268,493,"67000350036",臺南市,安南區,四草里,Sicao Vil.,D,"67000",D06,"67000350",
120.129881595813,23.0169153737673,151001,160233.546993238,2546921.02934436,161388.247531617,2545921.02934436,384,268,493,"67000350036",臺南市,安南區,四草里,Sicao Vil.,D,"67000",D06,"67000350",
120.130148810592,23.0081243490279,151002,160233.546993238,2545921.02934436,161388.247531617,2544921.02934436,385,268,493,"67000350036",臺南市,安南區,四草里,Sicao Vil.,D,"67000",D06,"67000350",
120.132779688572,23.0018227877877,151003,160233.546993238,2544921.02934436,161388.247531617,2543921.02934436,386,268,493,"67000350036",臺南市,安南區,四草里,Sicao Vil.,D,"67000",D06,"67000350",
120.214258891396,23.0354169213867,156619,168893.801031082,2548921.02934436,170048.501569462,2547921.02934436,382,278,494,"67000350006",臺南市,安南區,安東里,Andong Vil.,D,"67000",D06,"67000350",
120.163506962636,23.0441867244079,153246,163697.648608376,2549921.02934436,164852.349146755,2548921.02934436,381,272,495,"67000350047",臺南市,安南區,淵中里,Yuanzhong Vil.,D,"67000",D06,"67000350",
120.171929233249,23.0487460601095,153807,164563.67401216,2550421.02934436,165718.374550539,2549421.02934436,380,273,495,"67000350047",臺南市,安南區,淵中里,Yuanzhong Vil.,D,"67000",D06,"67000350",
120.171984434409,23.0397163212746,153808,164563.67401216,2549421.02934436,165718.374550539,2548421.02934436,381,273,495,"67000350047",臺南市,安南區,淵中里,Yuanzhong Vil.,D,"67000",D06,"67000350",
120.095727797235,23.0709033599544,148747,156769.4453781,2552921.02934436,157924.145916479,2551921.02934436,378,264,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.095788142434,23.0618738288395,148748,156769.4453781,2551921.02934436,157924.145916479,2550921.02934436,379,264,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.104268848751,23.057407169121,149310,157635.470781885,2551421.02934436,158790.171320264,2550421.02934436,379,265,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.070528795587,23.0481825376778,147063,154171.369166747,2550421.02934436,155326.069705126,2549421.02934436,380,261,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.071564541377,23.0415032000508,147064,154171.369166747,2549421.02934436,155326.069705126,2548421.02934436,381,261,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.078886557192,23.0617762332152,147624,155037.394570531,2551921.02934436,156192.095108911,2550921.02934436,379,262,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.078947999033,23.0527467341629,147625,155037.394570531,2550921.02934436,156192.095108911,2549921.02934436,380,262,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.079009409935,23.0437172246481,147626,155037.394570531,2549921.02934436,156192.095108911,2548921.02934436,381,262,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.087306887648,23.066340013164,148185,155903.419974316,2552421.02934436,157058.120512695,2551421.02934436,378,263,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.087367781313,23.0573104979829,148186,155903.419974316,2551421.02934436,157058.120512695,2550421.02934436,379,263,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.087428644317,23.0482809723406,148187,155903.419974316,2550421.02934436,157058.120512695,2549421.02934436,380,263,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.087489476669,23.0392514362401,148188,155903.419974316,2549421.02934436,157058.120512695,2548421.02934436,381,263,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.095848457252,23.0528442872644,148749,156769.4453781,2550921.02934436,157924.145916479,2549921.02934436,380,264,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.095908741698,23.0438147352323,148750,156769.4453781,2549921.02934436,157924.145916479,2548921.02934436,381,264,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.104328585001,23.0483776013522,149311,157635.470781885,2550421.02934436,158790.171320264,2549421.02934436,380,265,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.104388291168,23.0393480231307,149312,157635.470781885,2549421.02934436,158790.171320264,2548421.02934436,381,265,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.104447967258,23.0303184344597,149313,157635.470781885,2548421.02934436,158790.171320264,2547421.02934436,382,265,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
120.112867292717,23.0348808363284,149875,158501.496185669,2548921.02934436,159656.196724048,2547921.02934436,382,266,496,"67000350031",臺南市,安南區,城西里,Chengxi Vil.,D,"67000",D06,"67000350",
